,OPEN,HIGH,LOW,CLOSE,RSI
2014-04-22 00:00:00.005,2062.787,2073.663,2047.332,2072.831,0.0
2014-04-23 00:00:00.005,2068.084,2076.349,2059.109,2067.382,0.0
2014-04-24 00:00:00.005,2064.156,2075.757,2056.193,2057.033,0.0
2014-04-25 00:00:00.005,2060.538,2065.643,2035.566,2036.519,0.0
2014-04-28 00:00:00.005,2033.337,2035.99,2000.137,2003.487,0.0
2014-04-29 00:00:00.005,2001.896,2021.68,1997.64,2020.341,0.0
2014-04-30 00:00:00.005,2020.438,2029.538,2016.577,2026.358,0.0
2014-05-05 00:00:00.005,2022.178,2028.957,2007.351,2027.353,0.0
2014-05-06 00:00:00.005,2024.256,2038.705,2021.485,2028.038,0.0
2014-05-07 00:00:00.005,2023.152,2024.631,2008.451,2010.083,0.0
2014-05-08 00:00:00.005,2006.853,2036.941,2005.685,2015.274,0.0
2014-05-09 00:00:00.005,2016.501,2020.454,2001.3,2011.135,0.0
2014-05-12 00:00:00.005,2022.932,2055.506,2016.638,2052.871,0.0
2014-05-13 00:00:00.005,2055.079,2061.06,2043.547,2050.728,0.0
2014-05-14 00:00:00.005,2049.27,2056.574,2042.744,2047.91,0.0
2014-05-15 00:00:00.005,2044.377,2047.316,2022.861,2024.974,0.0
2014-05-16 00:00:00.005,2023.596,2027.756,2012.694,2026.504,0.0
2014-05-19 00:00:00.005,2023.014,2023.267,1996.015,2005.183,0.0
2014-05-20 00:00:00.005,2011.846,2018.156,2002.759,2008.119,0.0
2014-05-21 00:00:00.005,2001.306,2025.194,1991.055,2024.951,0.0
2014-05-22 00:00:00.005,2023.148,2041.96,2018.877,2021.285,0.0
2014-05-23 00:00:00.005,2020.115,2034.569,2017.739,2034.569,0.0
2014-05-26 00:00:00.005,2042.028,2045.381,2035.094,2041.476,0.0
2014-05-27 00:00:00.005,2039.791,2044.148,2032.839,2034.565,0.0
2014-05-28 00:00:00.005,2034.561,2052.656,2029.336,2050.228,0.0
