,OPEN,HIGH,LOW,CLOSE,MACD
2015-02-17 00:00:00.005,5518.193,5554.581,5518.193,5540.897,0.0
2015-02-25 00:00:00.005,5543.192,5543.192,5469.411,5483.26,0.0
2015-02-26 00:00:00.005,5480.977,5599.074,5462.045,5597.713,0.0
2015-02-27 00:00:00.005,5597.817,5619.496,5578.27,5596.208,0.0
2015-03-02 00:00:00.005,5621.092,5635.71,5587.276,5622.344,0.0
2015-03-03 00:00:00.005,5602.853,5602.853,5509.266,5514.419,0.0
2015-03-04 00:00:00.005,5518.666,5549.53,5498.793,5537.375,0.0
2015-03-05 00:00:00.005,5522.576,5522.576,5464.899,5497.676,0.0
2015-03-06 00:00:00.005,5498.214,5521.628,5476.821,5484.361,0.0
2015-03-09 00:00:00.005,5448.891,5572.089,5415.009,5561.218,0.0
2015-03-10 00:00:00.005,5550.216,5566.117,5520.974,5532.939,0.0
2015-03-11 00:00:00.005,5534.113,5590.801,5522.769,5540.185,0.0
2015-03-12 00:00:00.005,5562.904,5640.175,5553.327,5620.303,0.0
2015-03-13 00:00:00.005,5631.446,5679.181,5623.98,5648.372,0.0
2015-03-16 00:00:00.005,5668.132,5761.815,5657.219,5761.222,0.0
2015-03-17 00:00:00.005,5789.979,5823.944,5775.836,5817.439,0.0
2015-03-18 00:00:00.005,5827.692,5930.852,5827.319,5927.22,0.0
2015-03-19 00:00:00.005,5913.416,5926.485,5882.015,5905.449,0.0
2015-03-20 00:00:00.005,5913.929,6007.062,5905.19,5976.904,0.0
2015-03-23 00:00:00.005,6013.192,6073.77,6013.192,6070.351,0.0
2015-03-24 00:00:00.005,6071.843,6082.88,5963.418,6050.685,0.0
2015-03-25 00:00:00.005,6038.95,6062.568,5987.277,6021.159,0.0
2015-03-26 00:00:00.005,6005.052,6083.0,5963.699,6033.12,0.0
2015-03-27 00:00:00.005,6036.236,6086.374,6018.311,6065.024,0.0
2015-03-30 00:00:00.005,6094.507,6228.843,6094.507,6213.348,0.0
2015-03-31 00:00:00.005,6263.085,6304.531,6151.041,6163.981,0.0
2015-04-01 00:00:00.005,6164.131,6272.174,6164.131,6251.594,0.0
2015-04-02 00:00:00.005,6277.193,6293.162,6192.576,6252.271,0.0
2015-04-03 00:00:00.005,6231.406,6331.47,6226.257,6328.873,0.0
2015-04-07 00:00:00.005,6355.003,6438.158,6351.246,6436.687,0.0
2015-04-08 00:00:00.005,6450.323,6495.616,6385.413,6480.737,0.0
2015-04-09 00:00:00.005,6489.918,6527.311,6398.816,6439.333,0.0
2015-04-10 00:00:00.005,6436.107,6569.627,6411.452,6562.898,0.0
2015-04-13 00:00:00.005,6600.939,6662.288,6584.736,6645.789,0.0
2015-04-14 00:00:00.005,6639.719,6694.807,6606.113,6650.063,0.0
2015-04-15 00:00:00.005,6647.299,6698.965,6592.085,6603.598,0.0
2015-04-16 00:00:00.005,6580.324,6770.925,6536.915,6769.343,0.0
2015-04-17 00:00:00.005,6823.674,6892.124,6805.861,6851.715,0.0
2015-04-20 00:00:00.005,6853.744,6911.437,6716.682,6730.785,0.0
2015-04-21 00:00:00.005,6730.41,6827.912,6713.69,6826.044,0.0
2015-04-22 00:00:00.005,6846.395,6973.276,6846.395,6971.189,0.0
2015-04-23 00:00:00.005,6988.147,7002.796,6922.705,6959.488,0.0
2015-04-24 00:00:00.005,6896.39,6942.275,6826.619,6922.571,0.0
2015-04-27 00:00:00.005,6957.158,7037.82,6953.228,7033.291,0.0
2015-04-28 00:00:00.005,7026.522,7058.856,6918.273,6961.659,0.0
2015-04-29 00:00:00.005,6954.822,7019.109,6918.628,6991.971,0.0
2015-04-30 00:00:00.005,7001.828,7031.085,6978.407,6979.33,0.0
2015-05-04 00:00:00.005,6980.625,7007.593,6922.33,7000.789,0.0
2015-05-05 00:00:00.005,6993.308,6994.972,6784.208,6813.157,0.0
2015-05-06 00:00:00.005,6819.442,6917.464,6723.636,6762.549,0.0
2015-05-07 00:00:00.005,6744.451,6752.858,6669.985,6676.676,0.0
2015-05-08 00:00:00.005,6706.619,6760.011,6644.405,6758.274,0.0
2015-05-11 00:00:00.005,6784.912,6913.31,6736.825,6909.429,0.0
2015-05-12 00:00:00.005,6907.402,6969.256,6876.779,6964.778,0.0
2015-05-13 00:00:00.005,6950.09,6964.805,6890.21,6918.067,0.0
2015-05-14 00:00:00.005,6911.745,6932.055,6877.655,6907.687,0.0
2015-05-15 00:00:00.005,6899.198,6899.198,6803.025,6827.268,0.0
2015-05-18 00:00:00.005,6809.364,6845.59,6781.01,6789.296,0.0
